INFO: [CORE: 17:29:51] Logger initialized
INFO: [CORE: 17:29:51] Creating Window: Elipse Editor Of Size: 900:600 Vsync: true
INFO: [CORE: 17:29:51] GLFW Window created
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
ERROR: [CORE: 17:29:52] [ERROR] GL_INVALID_OPERATION error generated.
